idconf,method,type,flit,feat,lit,op,chars,lev,simpl,timeSelection,timeSimplification
38,Naïve,AND,1,5,7,5,74,2.0,2.0,0,0
38,OnlySelec,AND,1,5,7,5,74,3.0,0.0,0,0
38,ATGT,AND,1,3,3,3,33,4.0,-2.0,0,1118
38,Espresso,AND,1,4,6,7,69,5.0,0.0,0,52
38,JBool,AND,1,3,3,3,33,4.0,-2.0,1,0
39,Naïve,AND,1,5,7,5,74,2.0,2.0,0,0
39,OnlySelec,AND,1,5,7,5,74,3.0,0.0,0,0
39,ATGT,AND,1,5,6,5,66,3.0,0.0,0,1099
39,Espresso,AND,1,5,7,6,74,5.0,0.0,0,51
39,JBool,AND,1,5,6,5,66,5.0,0.0,0,0
40,Naïve,OR,4,5,14,15,155,16.0,3.0,0,0
40,OnlySelec,OR,4,5,14,15,155,16.0,3.0,0,28
40,ATGT,OR,4,5,10,9,110,9.0,3.0,0,2258
40,Espresso,OR,4,4,13,18,148,18.0,3.0,0,132
40,JBool,OR,4,4,10,15,113,17.0,3.0,0,29
41,Naïve,AND,3,5,9,8,92,6.0,4.0,0,0
41,OnlySelec,AND,3,5,9,8,94,6.0,1.0,0,0
41,ATGT,AND,3,5,9,8,94,6.0,1.0,1,1122
41,Espresso,AND,3,4,8,10,89,8.0,1.0,0,54
41,JBool,AND,3,4,8,10,89,10.0,1.0,0,1
42,Naïve,AND,2,5,8,7,86,5.0,3.0,0,0
42,OnlySelec,AND,2,5,8,7,86,5.0,1.0,0,0
42,ATGT,AND,2,5,8,7,86,5.0,1.0,0,1096
42,Espresso,AND,2,4,7,9,81,7.0,1.0,1,52
42,JBool,AND,2,4,7,9,81,9.0,1.0,0,1
43,Naïve,AND,3,5,9,8,102,6.0,4.0,0,0
43,OnlySelec,AND,3,5,9,8,104,6.0,0.0,0,0
43,ATGT,AND,3,5,9,8,104,6.0,0.0,1,1117
43,Espresso,AND,3,4,8,10,99,8.0,0.0,0,53
43,JBool,AND,3,4,8,10,99,9.0,0.0,0,0
44,Naïve,AND,2,5,8,6,95,4.0,3.0,0,0
44,OnlySelec,AND,2,5,8,6,95,4.0,0.0,0,0
44,ATGT,AND,2,4,6,7,79,4.0,0.0,0,1259
44,Espresso,AND,2,4,7,8,90,6.0,0.0,1,51
44,JBool,AND,2,4,7,8,90,8.0,0.0,0,1
45,Naïve,AND,2,5,8,7,83,5.0,3.0,0,0
45,OnlySelec,AND,2,5,8,7,83,5.0,1.0,1,0
45,ATGT,AND,2,5,8,7,83,5.0,1.0,0,1119
45,Espresso,AND,2,4,7,9,78,7.0,1.0,0,53
45,JBool,AND,2,4,7,9,78,9.0,1.0,0,0
46,Naïve,AND,3,5,9,8,102,6.0,4.0,0,0
46,OnlySelec,AND,3,5,9,8,104,6.0,1.0,0,0
46,ATGT,AND,3,5,9,8,104,6.0,1.0,1,1146
46,Espresso,AND,3,4,8,10,99,8.0,1.0,0,54
46,JBool,AND,3,4,8,10,99,10.0,1.0,0,0
