step,method,type,flit,feat,lit,op,chars,BFED,BFCD,timeSelection,timeSimplification,timeTotal
87,Espresso,AND,2,0,0,0,0,-1,-1,42116174,51937809,0
88,Espresso,AND,2,0,0,0,0,-1,-1,43134954,54873100,0
89,Espresso,AND,2,0,0,0,0,-1,-1,32716541,51325635,0
90,Espresso,AND,2,0,0,0,0,-1,-1,43883869,51996369,0
91,Espresso,AND,3,0,0,0,0,-1,-1,57376730,53451337,0
92,Espresso,AND,2,0,0,0,0,-1,-1,44763189,53652678,0
93,Espresso,AND,2,0,0,0,0,-1,-1,31673312,52146092,0
94,Espresso,AND,3,0,0,0,0,-1,-1,52826787,52755246,0
95,Espresso,AND,2,0,0,0,0,-1,-1,49479758,54626782,0
96,Espresso,AND,2,0,0,0,0,-1,-1,44834126,53483334,0
97,Espresso,AND,2,0,0,0,0,-1,-1,53243354,54202365,0
98,Espresso,AND,3,0,0,0,0,-1,-1,54484001,53157022,0
99,Espresso,AND,2,0,0,0,0,-1,-1,57477249,56322935,0
100,Espresso,AND,2,0,0,0,0,-1,-1,57203161,53789420,0
101,Espresso,AND,2,0,0,0,0,-1,-1,57466685,52351357,0
102,Espresso,AND,2,0,0,0,0,-1,-1,58707029,54838687,0
103,Espresso,AND,2,0,0,0,0,-1,-1,57140977,53710937,0
104,Espresso,AND,7,0,0,0,0,-1,-1,112882227,52233632,0
105,Espresso,AND,2,0,0,0,0,-1,-1,41195198,52968058,0
106,Espresso,AND,2,0,0,0,0,-1,-1,57099018,53241543,0
107,Espresso,AND,2,0,0,0,0,-1,-1,40832966,53783383,0
108,Espresso,AND,2,0,0,0,0,-1,-1,41581278,56222114,0
109,Espresso,AND,2,0,0,0,0,-1,-1,43481489,51190402,0
110,Espresso,AND,2,0,0,0,0,-1,-1,43221889,52543038,0
111,Espresso,AND,2,0,0,0,0,-1,-1,44479742,51817064,0
112,Espresso,AND,2,0,0,0,0,-1,-1,43487828,51663417,0
113,Espresso,AND,2,0,0,0,0,-1,-1,40632229,53756216,0
114,Espresso,AND,2,0,0,0,0,-1,-1,44215614,51134557,0
115,Espresso,AND,2,0,0,0,0,-1,-1,63072535,53042919,0
116,Espresso,AND,2,0,0,0,0,-1,-1,59018549,56497411,0
117,Espresso,AND,2,0,0,0,0,-1,-1,38395140,51721374,0
118,Espresso,AND,2,0,0,0,0,-1,-1,45105197,51015625,0
119,Espresso,AND,2,0,0,0,0,-1,-1,41856575,52073042,0
120,Espresso,AND,2,0,0,0,0,-1,-1,45170700,52441312,0
121,Espresso,AND,3,0,0,0,0,-1,-1,50287538,51040981,0
122,Espresso,AND,2,0,0,0,0,-1,-1,41075964,52687630,0
123,Espresso,AND,2,0,0,0,0,-1,-1,41072643,52208879,0
124,Espresso,AND,2,0,0,0,0,-1,-1,43304599,52095682,0
125,Espresso,AND,2,0,0,0,0,-1,-1,43532806,52090851,0
126,Espresso,AND,2,0,0,0,0,-1,-1,43360745,52495042,0
127,Espresso,AND,2,0,0,0,0,-1,-1,43599819,52675857,0
128,Espresso,AND,2,0,0,0,0,-1,-1,35382272,52166920,0
129,Espresso,AND,2,0,0,0,0,-1,-1,35149538,52373393,0
130,Espresso,AND,2,0,0,0,0,-1,-1,36357583,53112951,0
131,Espresso,AND,2,0,0,0,0,-1,-1,35363858,53919220,0
132,Espresso,AND,2,0,0,0,0,-1,-1,35252774,53029335,0
133,Espresso,AND,2,0,0,0,0,-1,-1,35400685,52860595,0
134,Espresso,AND,2,0,0,0,0,-1,-1,35081015,54283566,0
