idconf,method,type,flit,feat,lit,op,chars,lev,simpl,timeSelection,timeSimplification
none,NONE,null,24,55,63,1019,0.0,0.0,0,0
3,Naïve,OR,24,24,343,531,6231,443.0,234.0,0,0
3,OnlySelec,OR,24,24,199,297,3647,222.0,119.0,0,172
3,ATGT,OR,24,24,194,287,3584,212.0,119.0,0,11358
3,Espresso,OR,24,24,199,302,3633,227.0,119.0,0,675
3,JBool,OR,24,24,756,1026,13785,1016.0,119.0,0,661
4,Naïve,OR,13,24,211,327,3761,251.0,127.0,0,0
4,OnlySelec,OR,13,24,146,217,2628,147.0,83.0,0,158
4,ATGT,OR,13,24,143,211,2583,142.0,83.0,0,8455
4,Espresso,OR,13,24,146,223,2614,153.0,83.0,0,521
4,JBool,OR,13,24,294,441,5229,364.0,83.0,0,196
5,Naïve,OR,23,24,331,519,6145,431.0,223.0,0,0
5,OnlySelec,OR,23,24,124,177,2331,108.0,66.0,0,237
5,ATGT,OR,23,24,122,173,2293,104.0,66.0,0,3833
5,Espresso,OR,23,24,124,179,2327,110.0,66.0,0,326
5,JBool,OR,23,24,200,293,3642,264.0,66.0,0,174
6,Naïve,OR,10,24,175,219,3215,167.0,100.0,0,0
6,OnlySelec,OR,10,24,135,167,2489,112.0,75.0,0,159
6,ATGT,OR,10,24,133,164,2457,109.0,75.0,0,9232
6,Espresso,OR,10,24,135,174,2473,119.0,75.0,0,642
6,JBool,OR,10,24,157,203,2841,170.0,75.0,0,186
7,Naïve,OR,12,24,199,327,3639,263.0,117.0,0,0
7,OnlySelec,OR,12,24,151,239,2771,175.0,82.0,0,160
7,ATGT,OR,12,24,147,230,2700,167.0,82.0,0,9244
7,Espresso,OR,12,24,151,245,2755,181.0,82.0,0,598
7,JBool,OR,12,24,307,442,5617,407.0,82.0,0,198
8,Naïve,AND,6,24,61,72,1117,10.0,7.0,0,0
8,OnlySelec,AND,6,24,61,72,1115,10.0,3.0,2,0
8,ATGT,AND,6,24,61,72,1115,10.0,3.0,2,1163
8,Espresso,AND,6,24,61,73,1113,13.0,3.0,2,51
8,JBool,AND,6,24,61,73,1113,16.0,3.0,2,1
