step,method,type,flit,BFED,BFCD,constraints,literals,timeSelection,timeSimplification,timeTotal
95,Espresso,AND,2,0.0,-1542.0,1005,2156,38,100,138
96,Espresso,AND,2,0.0,-1540.0,1006,2158,49,103,152
97,Espresso,AND,7,0.0,-1533.0,1007,2165,94,107,201
98,Espresso,AND,3,0.0,-1530.0,1008,2168,47,101,148
99,Espresso,AND,2,0.0,-1528.0,1009,2170,53,147,200
100,Espresso,AND,2,0.0,-1526.0,1010,2172,62,100,162
101,Espresso,AND,2,0.0,-1524.0,1011,2174,51,97,148
102,Espresso,AND,2,0.0,-1522.0,1012,2176,54,100,154
103,Espresso,AND,2,0.0,-1520.0,1013,2178,44,103,147
104,Espresso,AND,7,0.0,-1513.0,1014,2185,133,131,264
105,Espresso,AND,2,0.0,-1511.0,1015,2187,31,100,131
106,Espresso,AND,2,0.0,-1509.0,1016,2189,31,100,131
107,Espresso,AND,2,0.0,-1507.0,1017,2191,35,100,138
108,Espresso,AND,2,0.0,-1505.0,1018,2193,63,116,179
109,Espresso,AND,2,0.0,-1503.0,1019,2195,31,107,138
110,Espresso,AND,2,0.0,-1501.0,1020,2197,53,100,153
111,Espresso,AND,2,0.0,-1499.0,1021,2199,63,95,158
112,Espresso,AND,2,0.0,-1497.0,1022,2201,31,100,131
113,Espresso,AND,2,0.0,-1495.0,1023,2203,32,99,131
114,Espresso,AND,2,0.0,-1493.0,1024,2205,31,100,131
115,Espresso,AND,2,0.0,-1491.0,1025,2207,56,106,162
116,Espresso,AND,2,0.0,-1489.0,1026,2209,38,100,138
117,Espresso,AND,3,0.0,-1486.0,1027,2212,47,100,147
118,Espresso,AND,2,0.0,-1484.0,1028,2214,16,116,132
119,Espresso,AND,2,0.0,-1482.0,1029,2216,33,117,150
120,Espresso,AND,2,0.0,-1480.0,1030,2218,32,100,132
121,Espresso,AND,2,0.0,-1478.0,1031,2220,53,101,154
122,Espresso,AND,2,0.0,-1476.0,1032,2222,47,100,147
123,Espresso,AND,2,0.0,-1474.0,1033,2224,38,100,138
124,Espresso,AND,2,0.0,-1472.0,1034,2226,31,138,169
125,Espresso,AND,2,0.0,-1470.0,1035,2228,48,99,147
126,Espresso,AND,3,0.0,-1467.0,1036,2231,53,100,153
127,Espresso,AND,2,0.0,-1465.0,1037,2233,17,108,125
128,Espresso,AND,2,0.0,-1463.0,1038,2235,38,100,138
129,Espresso,AND,2,0.0,-1461.0,1039,2237,31,116,147
130,Espresso,AND,2,0.0,-1459.0,1040,2239,38,100,138
131,Espresso,AND,2,0.0,-1457.0,1041,2241,54,100,169
132,Espresso,AND,2,0.0,-1455.0,1042,2243,31,101,132
133,Espresso,AND,2,0.0,-1453.0,1043,2245,40,116,156
134,Espresso,AND,2,0.0,-1451.0,1044,2247,31,131,162
135,Espresso,AND,2,0.0,-1449.0,1045,2249,35,97,132
136,Espresso,AND,2,0.0,-1447.0,1046,2251,47,122,169
137,Espresso,AND,2,0.0,-1445.0,1047,2253,16,147,163
138,Espresso,AND,2,0.0,-1443.0,1048,2255,46,97,143
139,Espresso,AND,2,0.0,-1441.0,1049,2257,46,85,131
140,Espresso,AND,3,0.0,-1438.0,1050,2260,32,100,132
141,Espresso,AND,3,0.0,-1435.0,1051,2263,86,116,202
142,Espresso,AND,2,0.0,-1433.0,1052,2265,31,100,131
143,Espresso,AND,4,0.0,-1429.0,1053,2269,37,101,138
144,Espresso,AND,4,0.0,-1425.0,1054,2273,73,96,169
145,Espresso,AND,2,0.0,-1423.0,1055,2275,32,99,131
146,Espresso,AND,3,0.0,-1420.0,1056,2278,41,96,137
147,Espresso,AND,2,0.0,-1418.0,1057,2280,34,137,171
148,Espresso,AND,4,0.0,-1414.0,1058,2284,48,100,148
149,Espresso,AND,3,0.0,-1411.0,1059,2287,38,133,171
150,Espresso,AND,2,0.0,-1409.0,1060,2289,32,99,131
151,Espresso,AND,2,0.0,-1407.0,1061,2291,38,116,154
152,Espresso,AND,2,0.0,-1405.0,1062,2293,47,100,147
153,Espresso,AND,2,0.0,-1403.0,1063,2295,47,131,178
154,Espresso,AND,2,0.0,-1401.0,1064,2297,79,100,179
155,Espresso,AND,2,0.0,-1399.0,1065,2299,63,100,163
156,Espresso,AND,2,0.0,-1397.0,1066,2301,47,100,147
157,Espresso,AND,2,0.0,-1395.0,1067,2303,69,131,200
158,Espresso,AND,4,0.0,-1391.0,1068,2307,73,100,173
159,Espresso,AND,2,0.0,-1389.0,1069,2309,48,100,148
160,Espresso,AND,4,0.0,-1385.0,1070,2313,53,116,169
161,Espresso,AND,2,0.0,-1383.0,1071,2315,53,100,153
162,Espresso,AND,4,0.0,-1379.0,1072,2319,63,121,184
163,Espresso,AND,2,0.0,-1377.0,1073,2321,47,115,162
164,Espresso,AND,2,0.0,-1375.0,1074,2323,33,133,166
165,Espresso,AND,2,0.0,-1373.0,1075,2325,47,138,185
166,Espresso,AND,2,0.0,-1371.0,1076,2327,53,101,154
167,Espresso,AND,2,0.0,-1369.0,1077,2329,37,101,138
168,Espresso,AND,2,0.0,-1367.0,1078,2331,25,121,146
169,Espresso,AND,2,0.0,-1365.0,1079,2333,32,100,132
170,Espresso,AND,20,0.0,-1345.0,1080,2353,178,100,278
171,Espresso,AND,2,0.0,-1343.0,1081,2355,18,101,119
172,Espresso,AND,2,0.0,-1341.0,1082,2357,53,101,154
173,Espresso,AND,7,0.0,-1334.0,1083,2364,116,100,216
174,Espresso,AND,2,0.0,-1332.0,1084,2366,35,116,151
175,Espresso,AND,2,0.0,-1330.0,1085,2368,85,116,201
176,Espresso,AND,2,0.0,-1328.0,1086,2370,47,132,179
177,Espresso,AND,2,0.0,-1326.0,1087,2372,63,115,178
178,Espresso,AND,2,0.0,-1324.0,1088,2374,47,100,163
179,Espresso,AND,2,0.0,-1322.0,1089,2376,37,100,137
180,Espresso,AND,2,0.0,-1320.0,1090,2378,38,100,138
181,Espresso,AND,2,0.0,-1318.0,1091,2380,31,100,131
182,Espresso,AND,2,0.0,-1316.0,1092,2382,38,100,138
183,Espresso,AND,2,0.0,-1314.0,1093,2384,31,138,169
184,Espresso,AND,5,0.0,-1309.0,1094,2389,100,116,216
185,Espresso,AND,6,0.0,-1303.0,1095,2395,147,100,247
186,Espresso,AND,5,0.0,-1298.0,1096,2400,116,131,247
187,Espresso,AND,5,0.0,-1293.0,1097,2405,100,116,216
188,Espresso,AND,2,0.0,-1291.0,1098,2407,53,100,153
189,Espresso,AND,2,0.0,-1289.0,1099,2409,48,168,216
190,Espresso,AND,2,0.0,-1287.0,1100,2411,53,116,169
191,Espresso,AND,2,0.0,-1285.0,1101,2413,35,143,178
192,Espresso,AND,2,0.0,-1283.0,1102,2415,47,100,147
193,Espresso,AND,2,0.0,-1281.0,1103,2417,38,100,138
194,Espresso,AND,2,0.0,-1279.0,1104,2419,32,122,154
195,Espresso,AND,2,0.0,-1277.0,1105,2421,37,117,154
196,Espresso,AND,2,0.0,-1275.0,1106,2423,69,100,169
197,Espresso,AND,2,0.0,-1273.0,1107,2425,53,100,153
198,Espresso,AND,2,0.0,-1271.0,1108,2427,47,100,147
199,Espresso,AND,2,0.0,-1269.0,1109,2429,63,100,163
200,Espresso,AND,2,0.0,-1267.0,1110,2431,38,115,153
201,Espresso,AND,2,0.0,-1265.0,1111,2433,22,100,122
202,Espresso,AND,2,0.0,-1263.0,1112,2435,31,132,163
203,Espresso,AND,2,0.0,-1261.0,1113,2437,32,92,124
204,Espresso,AND,2,0.0,-1259.0,1114,2439,31,100,131
205,Espresso,AND,2,0.0,-1257.0,1115,2441,21,100,121
206,Espresso,AND,2,0.0,-1255.0,1116,2443,34,103,137
207,Espresso,AND,2,0.0,-1253.0,1117,2445,31,116,147
208,Espresso,AND,2,0.0,-1251.0,1118,2447,32,111,143
209,Espresso,AND,2,0.0,-1249.0,1119,2449,33,106,139
210,Espresso,AND,2,0.0,-1247.0,1120,2451,33,106,139
211,Espresso,AND,2,0.0,-1245.0,1121,2453,32,107,139
212,Espresso,AND,2,0.0,-1243.0,1122,2455,22,100,122
213,Espresso,AND,2,0.0,-1241.0,1123,2457,31,100,131
214,Espresso,AND,2,0.0,-1239.0,1124,2459,32,100,132
215,Espresso,AND,2,0.0,-1237.0,1125,2461,38,100,138
216,Espresso,AND,2,0.0,-1235.0,1126,2463,31,138,169
217,Espresso,AND,2,0.0,-1233.0,1127,2465,85,100,185
218,Espresso,AND,2,0.0,-1231.0,1128,2467,85,115,200
219,Espresso,AND,2,0.0,-1229.0,1129,2469,68,116,184
220,Espresso,AND,2,0.0,-1227.0,1130,2471,78,123,201
221,Espresso,AND,6,0.0,-1221.0,1131,2477,154,100,254
222,Espresso,AND,2,0.0,-1219.0,1132,2479,69,100,169
223,Espresso,AND,3,0.0,-1216.0,1133,2482,84,100,184
224,Espresso,AND,2,0.0,-1214.0,1134,2484,53,100,153
225,Espresso,AND,5,0.0,-1209.0,1135,2489,84,147,231
226,Espresso,AND,2,0.0,-1207.0,1136,2491,31,216,247
227,Espresso,AND,2,0.0,-1205.0,1137,2493,31,131,162
