step,method,type,flit,BFED,BFCD,constraints,literals,timeSelection,timeSimplification,timeTotal
95,Espresso,AND,2,0.0,-1462.0,943,2236,45,55,100
96,Espresso,AND,2,0.0,-1460.0,943,2238,42,52,94
97,Espresso,AND,2,0.0,-1458.0,943,2240,48,57,105
98,Espresso,AND,3,0.0,-1455.0,943,2243,50,56,106
99,Espresso,AND,2,0.0,-1453.0,943,2245,53,57,110
100,Espresso,AND,2,0.0,-1451.0,943,2247,54,57,111
101,Espresso,AND,2,0.0,-1449.0,943,2249,54,55,109
102,Espresso,AND,2,0.0,-1447.0,943,2251,54,54,108
103,Espresso,AND,2,0.0,-1445.0,943,2253,54,56,110
104,Espresso,AND,7,0.0,-1438.0,943,2260,105,55,160
105,Espresso,AND,2,0.0,-1436.0,943,2262,39,55,94
106,Espresso,AND,2,0.0,-1434.0,943,2264,58,54,112
107,Espresso,AND,2,0.0,-1432.0,943,2266,46,54,100
108,Espresso,AND,2,0.0,-1430.0,943,2268,39,54,94
109,Espresso,AND,2,0.0,-1428.0,943,2270,40,54,94
110,Espresso,AND,2,0.0,-1426.0,943,2272,39,54,93
111,Espresso,AND,2,0.0,-1424.0,943,2274,42,55,97
112,Espresso,AND,2,0.0,-1422.0,943,2276,42,54,96
113,Espresso,AND,2,0.0,-1420.0,943,2278,39,55,94
114,Espresso,AND,2,0.0,-1418.0,943,2280,43,53,96
115,Espresso,AND,2,0.0,-1416.0,943,2282,59,56,115
116,Espresso,AND,2,0.0,-1414.0,943,2284,54,54,108
117,Espresso,AND,2,0.0,-1412.0,943,2286,37,53,90
118,Espresso,AND,2,0.0,-1410.0,943,2288,42,55,97
119,Espresso,AND,2,0.0,-1408.0,943,2290,40,55,95
120,Espresso,AND,2,0.0,-1406.0,943,2292,43,55,98
121,Espresso,AND,3,0.0,-1403.0,943,2295,48,54,102
122,Espresso,AND,2,0.0,-1401.0,943,2297,41,55,96
123,Espresso,AND,2,0.0,-1399.0,943,2299,39,56,95
124,Espresso,AND,2,0.0,-1397.0,943,2301,41,53,94
125,Espresso,AND,2,0.0,-1395.0,943,2303,42,56,98
126,Espresso,AND,2,0.0,-1393.0,943,2305,41,57,98
127,Espresso,AND,2,0.0,-1391.0,943,2307,41,56,97
