idconf,mutation,steps,method,type,flit,feat,lit,op,chars,lev,simpl,timeSelection,timeSimplification
12,REMOVE_LITERAL,5,Naïve,OR,3,4,19,25,228,29.0,6.0,0,0
12,REMOVE_LITERAL,5,OnlySelec,OR,3,4,12,15,149,15.0,1.0,0,31
12,REMOVE_LITERAL,5,ATGT,OR,3,4,9,12,105,13.0,1.0,0,1171
12,REMOVE_LITERAL,5,Espresso,OR,3,4,12,15,149,15.0,1.0,0,84
12,REMOVE_LITERAL,5,JBool,OR,3,4,9,12,105,13.0,1.0,0,31
13,REMOVE_CONSTRAINT,3,Naïve,AND,4,5,7,6,70,9.0,1.0,0,0
13,REMOVE_CONSTRAINT,3,OnlySelec,AND,4,5,7,6,74,11.0,-2.0,1,0
13,REMOVE_CONSTRAINT,3,ATGT,AND,4,5,6,5,66,10.0,-2.0,0,1167
13,REMOVE_CONSTRAINT,3,Espresso,AND,4,4,6,8,69,12.0,-2.0,1,49
13,REMOVE_CONSTRAINT,3,JBool,AND,4,4,6,8,69,13.0,-2.0,0,0
14,REMOVE_CONSTRAINT,4,Naïve,AND,4,5,11,13,116,13.0,6.0,0,0
14,REMOVE_CONSTRAINT,4,OnlySelec,AND,4,5,11,13,122,16.0,-2.0,0,0
14,REMOVE_CONSTRAINT,4,ATGT,AND,4,5,9,11,103,14.0,-2.0,0,1102
14,REMOVE_CONSTRAINT,4,Espresso,AND,4,4,10,15,117,18.0,-2.0,10,43
14,REMOVE_CONSTRAINT,4,JBool,AND,4,4,10,14,116,19.0,-2.0,0,0
15,SUBSTITUTE_LITERAL,3,Naïve,AND,4,5,10,9,101,8.0,4.0,0,0
15,SUBSTITUTE_LITERAL,3,OnlySelec,AND,4,5,10,9,105,8.0,1.0,0,0
15,SUBSTITUTE_LITERAL,3,ATGT,AND,4,4,6,7,71,6.0,1.0,0,1102
15,SUBSTITUTE_LITERAL,3,Espresso,AND,4,4,9,11,100,10.0,1.0,12,44
15,SUBSTITUTE_LITERAL,3,JBool,AND,4,4,6,8,70,7.0,1.0,0,0
16,SUBSTITUTE_LITERAL,3,Naïve,AND,4,5,10,9,115,8.0,4.0,0,0
16,SUBSTITUTE_LITERAL,3,OnlySelec,AND,4,5,10,9,119,8.0,1.0,0,0
16,SUBSTITUTE_LITERAL,3,ATGT,AND,4,4,6,7,71,6.0,1.0,0,1086
16,SUBSTITUTE_LITERAL,3,Espresso,AND,4,4,9,11,114,9.0,1.0,3,65
16,SUBSTITUTE_LITERAL,3,JBool,AND,4,4,6,8,70,7.0,1.0,0,1
17,SUBSTITUTE_LITERAL,3,Naïve,AND,4,5,10,9,105,8.0,5.0,0,0
17,SUBSTITUTE_LITERAL,3,OnlySelec,AND,4,5,10,9,109,8.0,1.0,0,0
17,SUBSTITUTE_LITERAL,3,ATGT,AND,4,5,9,8,101,7.0,1.0,0,1101
17,SUBSTITUTE_LITERAL,3,Espresso,AND,4,4,9,11,104,9.0,1.0,8,48
17,SUBSTITUTE_LITERAL,3,JBool,AND,4,4,9,11,104,12.0,1.0,0,0
18,REMOVE_CONSTRAINT,3,Naïve,AND,4,5,7,6,70,9.0,1.0,0,0
18,REMOVE_CONSTRAINT,3,OnlySelec,AND,4,5,7,6,74,11.0,-2.0,0,0
18,REMOVE_CONSTRAINT,3,ATGT,AND,4,5,6,5,66,10.0,-2.0,0,1088
18,REMOVE_CONSTRAINT,3,Espresso,AND,4,4,6,8,69,12.0,-2.0,0,52
18,REMOVE_CONSTRAINT,3,JBool,AND,4,4,6,8,69,13.0,-2.0,0,0
19,REMOVE_LITERAL,3,Naïve,OR,2,5,9,10,102,12.0,1.0,0,0
19,REMOVE_LITERAL,3,OnlySelec,OR,2,5,7,6,74,6.0,0.0,0,31
19,REMOVE_LITERAL,3,ATGT,OR,2,5,6,4,65,4.0,0.0,0,1086
19,REMOVE_LITERAL,3,Espresso,OR,2,5,7,6,74,6.0,0.0,0,100
19,REMOVE_LITERAL,3,JBool,OR,2,5,6,4,65,2.0,0.0,0,31
