step,method,type,flit,BFED,BFCD,constraints,literals,timeSelection,timeSimplification,timeTotal
97,onlySelection,OR,39,0.0,6948.0,84,7099,15,11,27
98,onlySelection,OR,39,0.0,6987.0,84,7138,17,10,27
99,onlySelection,OR,37,0.0,7024.0,84,7175,16,3,19
100,onlySelection,OR,37,0.0,7061.0,84,7212,15,4,19
101,onlySelection,OR,37,0.0,7098.0,84,7249,15,3,18
102,onlySelection,OR,37,0.0,7135.0,84,7286,16,3,19
103,onlySelection,OR,37,0.0,7172.0,84,7323,16,3,19
104,onlySelection,OR,37,0.0,7209.0,84,7360,16,4,20
105,onlySelection,OR,37,0.0,7246.0,84,7397,16,4,20
106,onlySelection,OR,37,0.0,7283.0,84,7434,16,4,20
107,onlySelection,OR,37,0.0,7320.0,84,7471,16,4,20
108,onlySelection,OR,37,0.0,7357.0,84,7508,18,4,22
109,onlySelection,OR,37,0.0,7394.0,84,7545,16,4,20
110,onlySelection,OR,37,0.0,7431.0,84,7582,16,5,21
111,onlySelection,OR,37,0.0,7468.0,84,7619,16,5,21
112,onlySelection,OR,37,0.0,7505.0,84,7656,16,4,20
113,onlySelection,OR,39,0.0,7544.0,84,7695,16,5,21
114,onlySelection,OR,39,0.0,7583.0,84,7734,17,5,22
115,onlySelection,OR,39,0.0,7622.0,84,7773,17,5,22
116,onlySelection,OR,39,0.0,7661.0,84,7812,16,6,22
117,onlySelection,OR,37,0.0,7698.0,84,7849,17,6,23
118,onlySelection,OR,39,0.0,7737.0,84,7888,17,6,23
119,onlySelection,OR,39,0.0,7776.0,84,7927,18,6,24
120,onlySelection,OR,37,0.0,7813.0,84,7964,17,6,23
121,onlySelection,OR,37,0.0,7850.0,84,8001,16,6,22
122,onlySelection,OR,37,0.0,7887.0,84,8038,17,7,24
123,onlySelection,OR,36,0.0,7959.0,84,8110,16,14,30
124,onlySelection,OR,36,0.0,8031.0,84,8182,16,13,29
125,onlySelection,OR,36,0.0,8103.0,84,8254,16,14,30
126,onlySelection,OR,36,0.0,8175.0,84,8326,17,14,31
127,onlySelection,OR,36,0.0,8247.0,84,8398,16,14,30
128,onlySelection,OR,36,0.0,8319.0,84,8470,17,16,33
129,onlySelection,OR,38,0.0,8395.0,84,8546,17,15,33
130,onlySelection,OR,38,0.0,8471.0,84,8622,19,16,35
131,onlySelection,OR,38,0.0,8547.0,84,8698,18,16,34
132,onlySelection,OR,38,0.0,8623.0,84,8774,18,16,34
133,onlySelection,OR,36,0.0,8695.0,84,8846,18,16,34
134,onlySelection,OR,38,0.0,8771.0,84,8922,19,17,36
135,onlySelection,OR,38,0.0,8847.0,84,8998,18,18,36
136,onlySelection,OR,36,0.0,8919.0,84,9070,18,18,36
137,onlySelection,OR,36,0.0,8991.0,84,9142,17,19,36
138,onlySelection,OR,36,0.0,9063.0,84,9214,18,18,37
139,onlySelection,OR,36,0.0,9135.0,84,9286,18,19,37
140,onlySelection,OR,37,0.0,9172.0,84,9323,24,4,28
141,onlySelection,OR,36,0.0,9244.0,84,9395,19,20,39
142,onlySelection,OR,36,0.0,9316.0,84,9467,20,21,41
143,onlySelection,OR,36,0.0,9388.0,84,9539,19,21,40
144,onlySelection,OR,36,0.0,9460.0,84,9611,19,21,41
145,onlySelection,OR,36,0.0,9532.0,84,9683,20,22,42
146,onlySelection,OR,36,0.0,9604.0,84,9755,21,24,45
