id,idconf,method,type,flit,feat,lit,op,chars,BFED,BFCD,timeSelection,timeSimplification,timeTotal
1,1,Naive,AND,1,24,56,65,1039,2.0,1.0,0,0,0
2,1,onlySelection,AND,1,24,56,65,1039,2.0,1.0,16,0,16
3,1,ATGT,AND,1,24,55,65,1020,6.0,0.0,15,1088,1103
4,1,Espresso,AND,1,24,56,66,1037,5.0,1.0,17,50,67
5,1,JBool,AND,1,24,55,65,1020,10.0,0.0,0,54,54
6,1,Naive,OR,1,24,67,75,1243,23.0,12.0,0,0,0
7,1,onlySelection,OR,1,24,67,75,1243,23.0,12.0,0,0,0
8,1,ATGT,OR,1,24,65,75,1201,27.0,10.0,0,12624,12624
9,1,Espresso,OR,1,24,67,85,1215,35.0,12.0,0,647,647
10,1,JBool,OR,1,24,66,84,1198,58.0,11.0,0,16,16
11,2,Naive,AND,2,24,57,66,1060,3.0,2.0,0,0,0
12,2,onlySelection,AND,2,24,57,66,1058,3.0,2.0,0,0,0
13,2,ATGT,AND,2,24,57,66,1058,3.0,2.0,0,1087,1087
14,2,Espresso,AND,2,24,57,67,1056,6.0,2.0,0,47,47
15,2,JBool,AND,2,24,57,67,1056,11.0,2.0,0,0,0
16,2,Naive,OR,2,24,79,99,1543,59.0,24.0,0,0,0
17,2,onlySelection,OR,2,24,79,99,1543,59.0,24.0,0,0,0
18,2,ATGT,OR,2,24,71,87,1369,40.0,16.0,0,12421,12421
19,2,Espresso,OR,2,24,79,109,1515,71.0,24.0,0,661,661
20,2,JBool,OR,2,24,71,97,1345,80.0,16.0,0,25,25
21,3,Naive,AND,3,24,58,70,1068,7.0,3.0,0,0,0
22,3,onlySelection,AND,3,24,58,70,1066,7.0,3.0,3,0,3
23,3,ATGT,AND,3,24,57,69,1056,9.0,2.0,3,1068,1071
24,3,Espresso,AND,3,24,58,71,1064,10.0,3.0,2,51,53
25,3,JBool,AND,3,24,58,67,1062,13.0,3.0,0,0,0
26,3,Naive,OR,3,24,91,123,1749,71.0,36.0,0,0,0
27,3,onlySelection,OR,3,24,91,123,1749,71.0,36.0,0,1,1
28,3,ATGT,OR,3,24,84,111,1608,58.0,29.0,0,12481,12481
29,3,Espresso,OR,3,24,91,133,1721,83.0,36.0,5,634,639
30,3,JBool,OR,3,24,86,126,1622,99.0,31.0,0,16,16
31,4,Naive,AND,4,24,59,70,1086,6.0,4.0,0,0,0
32,4,onlySelection,AND,4,24,59,70,1088,6.0,4.0,0,0,0
33,4,ATGT,AND,4,24,58,69,1079,5.0,3.0,16,1037,1053
34,4,Espresso,AND,4,24,59,70,1088,6.0,4.0,0,63,63
35,4,JBool,AND,4,24,58,69,1079,6.0,3.0,0,0,0
36,4,Naive,OR,4,24,103,159,2183,107.0,48.0,0,0,0
37,4,onlySelection,OR,4,24,103,159,2183,107.0,48.0,0,0,0
38,4,ATGT,OR,4,24,91,134,1894,81.0,36.0,0,12710,12710
39,4,Espresso,OR,4,24,103,169,2155,119.0,48.0,0,640,640
40,4,JBool,OR,4,24,116,177,2289,146.0,61.0,0,31,31
41,5,Naive,AND,5,24,60,73,1116,9.0,5.0,0,0,0
42,5,onlySelection,AND,5,24,60,73,1114,9.0,5.0,0,0,0
43,5,ATGT,AND,5,24,60,73,1114,9.0,5.0,0,1055,1055
44,5,Espresso,AND,5,24,60,74,1112,12.0,5.0,0,63,63
45,5,JBool,AND,5,24,60,72,1112,17.0,5.0,2,2,4
46,5,Naive,OR,5,24,115,171,2185,119.0,60.0,0,0,0
