idconf,method,type,flit,feat,lit,op,chars,lev,simpl,timeSelection,timeSimplification
45,Naïve,AND,2,5,8,7,93,5.0,3.0,0,0
45,OnlySelec,AND,2,5,8,7,91,5.0,0.0,0,0
45,ATGT,AND,2,5,8,7,91,5.0,0.0,0,0
45,Espresso,AND,2,5,8,8,91,7.0,0.0,0,53
45,JBool,AND,2,5,8,7,92,7.0,0.0,0,0
45,QM,AND,2,5,8,7,92,7.0,0.0,0,21
46,Naïve,AND,3,5,9,9,93,7.0,4.0,0,0
46,OnlySelec,AND,3,5,9,9,95,7.0,1.0,0,0
46,ATGT,AND,3,5,9,9,95,7.0,1.0,0,0
46,Espresso,AND,3,4,8,11,90,9.0,1.0,0,53
46,JBool,AND,3,4,8,10,89,10.0,1.0,0,0
46,QM,AND,3,4,7,9,78,7.0,1.0,0,31
47,Naïve,AND,3,5,9,8,99,6.0,4.0,0,0
47,OnlySelec,AND,3,5,9,8,101,6.0,1.0,0,0
47,ATGT,AND,3,5,9,8,101,6.0,1.0,0,0
47,Espresso,AND,3,4,8,10,96,8.0,1.0,0,47
47,JBool,AND,3,4,8,10,96,10.0,1.0,0,0
47,QM,AND,3,4,7,9,78,9.0,1.0,0,24
48,Naïve,AND,2,5,8,8,97,6.0,3.0,0,0
48,OnlySelec,AND,2,5,8,8,97,6.0,0.0,0,0
48,ATGT,AND,2,4,6,9,74,9.0,0.0,0,0
48,Espresso,AND,2,4,7,10,92,8.0,0.0,0,47
48,JBool,AND,2,4,7,8,90,8.0,0.0,0,1
48,QM,AND,2,4,5,5,60,2.0,0.0,0,15
49,Naïve,AND,3,5,9,7,101,5.0,4.0,0,0
49,OnlySelec,AND,3,5,9,7,103,5.0,1.0,0,0
49,ATGT,AND,3,5,9,7,103,5.0,1.0,0,15
49,Espresso,AND,3,4,8,9,98,7.0,1.0,0,53
49,JBool,AND,3,4,8,9,98,9.0,1.0,0,0
49,QM,AND,3,4,7,10,82,9.0,1.0,0,32
50,Naïve,AND,2,5,8,7,93,5.0,3.0,0,0
50,OnlySelec,AND,2,5,8,7,93,5.0,0.0,0,0
50,ATGT,AND,2,4,6,8,70,8.0,0.0,0,0
50,Espresso,AND,2,4,7,9,88,7.0,0.0,0,47
50,JBool,AND,2,4,7,9,88,8.0,0.0,0,0
50,QM,AND,2,4,5,5,60,4.0,0.0,0,20
51,Naïve,OR,4,5,14,15,155,16.0,3.0,0,0
51,OnlySelec,OR,4,5,14,15,155,16.0,3.0,0,21
51,ATGT,OR,4,5,11,10,128,11.0,3.0,0,31
51,Espresso,OR,4,4,13,18,148,18.0,3.0,0,147
51,JBool,OR,4,4,10,15,113,17.0,3.0,0,31
51,QM,OR,4,4,8,12,88,12.0,3.0,0,84
52,Naïve,AND,1,5,7,5,74,2.0,2.0,0,0
52,OnlySelec,AND,1,5,7,5,74,3.0,0.0,0,0
52,ATGT,AND,1,5,6,5,66,3.0,0.0,0,16
52,Espresso,AND,1,5,7,6,74,5.0,0.0,0,53
52,JBool,AND,1,5,6,5,66,5.0,0.0,0,0
52,QM,AND,1,5,6,5,66,3.0,0.0,0,16
53,Naïve,AND,2,5,8,8,87,6.0,3.0,0,0
53,OnlySelec,AND,2,5,8,8,87,6.0,0.0,0,0
53,ATGT,AND,2,4,6,9,74,8.0,0.0,0,0
53,Espresso,AND,2,4,7,10,82,8.0,0.0,0,47
53,JBool,AND,2,4,7,8,80,8.0,0.0,0,0
53,QM,AND,2,4,5,5,60,2.0,0.0,0,21
54,Naïve,AND,1,5,7,6,78,3.0,2.0,0,0
54,OnlySelec,AND,1,5,7,6,80,4.0,0.0,0,0
54,ATGT,AND,1,3,3,4,39,5.0,-2.0,0,0
54,Espresso,AND,1,4,6,6,71,4.0,0.0,0,116
54,JBool,AND,1,3,3,2,35,4.0,-3.0,0,0
54,QM,AND,1,3,3,2,35,4.0,-3.0,0,20
55,Naïve,AND,1,5,7,5,74,2.0,2.0,0,0
55,OnlySelec,AND,1,5,7,5,74,3.0,0.0,0,0
55,ATGT,AND,1,3,3,3,33,4.0,-2.0,0,15
55,Espresso,AND,1,4,6,7,69,5.0,0.0,0,69
55,JBool,AND,1,3,3,3,33,4.0,-2.0,0,0
55,QM,AND,1,3,3,3,33,4.0,-2.0,0,31
56,Naïve,AND,2,5,8,7,83,5.0,3.0,0,0
56,OnlySelec,AND,2,5,8,7,83,5.0,1.0,0,0
56,ATGT,AND,2,5,8,7,83,5.0,1.0,0,0
56,Espresso,AND,2,4,7,9,78,7.0,1.0,0,53
56,JBool,AND,2,4,7,9,78,9.0,1.0,0,0
56,QM,AND,2,4,7,8,77,7.0,1.0,0,21
57,Naïve,AND,2,5,8,6,85,4.0,3.0,0,0
57,OnlySelec,AND,2,5,8,6,85,4.0,0.0,0,0
57,ATGT,AND,2,4,6,7,69,4.0,0.0,0,0
57,Espresso,AND,2,4,7,8,80,6.0,0.0,0,69
57,JBool,AND,2,4,7,8,80,8.0,0.0,0,0
57,QM,AND,2,4,5,7,62,6.0,0.0,0,16
58,Naïve,AND,1,5,7,5,77,2.0,2.0,0,0
58,OnlySelec,AND,1,5,7,5,77,3.0,0.0,0,0
