step,method,type,flit,BFED,BFCD,constraints,literals,timeSelection,timeSimplification,timeTotal
0,onlySelection,OR,38,0.0,152.0,75,303,5,0,5
1,onlySelection,OR,38,0.0,304.0,75,455,5,1,6
2,onlySelection,OR,36,0.0,448.0,75,599,5,1,6
3,onlySelection,OR,36,0.0,592.0,75,743,5,1,6
4,onlySelection,OR,36,0.0,736.0,75,887,6,2,8
5,onlySelection,OR,36,0.0,880.0,75,1031,5,2,7
6,onlySelection,OR,36,0.0,1024.0,75,1175,6,2,8
7,onlySelection,OR,36,0.0,1168.0,75,1319,6,2,8
8,onlySelection,OR,35,0.0,1273.0,75,1424,6,1,7
9,onlySelection,OR,39,0.0,1390.0,75,1541,6,2,8
10,onlySelection,OR,39,0.0,1507.0,75,1658,6,2,9
11,onlySelection,OR,37,0.0,1618.0,75,1769,6,3,9
12,onlySelection,OR,37,0.0,1729.0,75,1880,7,3,10
13,onlySelection,OR,37,0.0,1840.0,75,1991,7,3,10
14,onlySelection,OR,37,0.0,1951.0,75,2102,7,3,10
15,onlySelection,OR,39,0.0,2068.0,75,2219,7,5,12
16,onlySelection,OR,37,0.0,2179.0,75,2330,8,4,12
17,onlySelection,OR,37,0.0,2290.0,75,2441,7,4,11
18,onlySelection,OR,37,0.0,2401.0,75,2552,8,8,16
19,onlySelection,OR,35,0.0,2506.0,75,2657,7,4,11
20,onlySelection,OR,37,0.0,2617.0,75,2768,8,4,12
21,onlySelection,OR,37,0.0,2728.0,75,2879,8,4,12
22,onlySelection,OR,35,0.0,2833.0,75,2984,8,5,13
23,onlySelection,OR,37,0.0,2944.0,75,3095,8,5,13
24,onlySelection,OR,37,0.0,3055.0,75,3206,8,5,13
25,onlySelection,OR,35,0.0,3160.0,75,3311,8,4,12
26,onlySelection,OR,37,0.0,3271.0,75,3422,9,5,14
27,onlySelection,OR,37,0.0,3382.0,75,3533,9,5,14
28,onlySelection,OR,35,0.0,3487.0,75,3638,9,5,14
29,onlySelection,OR,37,0.0,3598.0,75,3749,10,6,16
30,onlySelection,OR,37,0.0,3709.0,75,3860,10,6,16
31,onlySelection,OR,35,0.0,3814.0,75,3965,9,7,16
32,onlySelection,OR,37,0.0,3925.0,75,4076,10,6,16
33,onlySelection,OR,37,0.0,4036.0,75,4187,10,1,11
34,onlySelection,OR,35,0.0,4141.0,75,4292,16,17,33
35,onlySelection,OR,37,0.0,4252.0,75,4403,0,16,16
36,onlySelection,OR,39,0.0,4369.0,75,4520,0,16,16
37,onlySelection,OR,37,0.0,4480.0,75,4631,15,0,15
38,onlySelection,OR,39,0.0,4597.0,75,4748,19,8,27
39,onlySelection,OR,39,0.0,4714.0,75,4865,11,9,20
40,onlySelection,OR,37,0.0,4825.0,75,4976,11,9,20
41,onlySelection,OR,38,0.0,4901.0,75,5052,11,6,17
42,onlySelection,OR,38,0.0,4977.0,75,5128,3,0,3
43,onlySelection,OR,40,0.0,5057.0,75,5208,16,0,16
44,onlySelection,OR,40,0.0,5137.0,75,5288,16,0,16
45,onlySelection,OR,38,0.0,5213.0,75,5364,0,22,22
46,onlySelection,OR,38,0.0,5289.0,75,5440,15,0,15
47,onlySelection,OR,38,0.0,5365.0,75,5516,15,16,31
