step,method,type,flit,BFED,BFCD,constraints,literals,timeSelection,timeSimplification,timeTotal
95,Espresso,OR,444,0.0,-418.0,918,3280,682,162,844
96,Espresso,OR,447,0.0,476.0,918,4174,734,139,873
97,Espresso,AND,2,0.0,478.0,919,4176,278,102,380
98,Espresso,AND,2,0.0,480.0,920,4178,323,100,423
99,Espresso,AND,2,0.0,482.0,921,4180,292,116,408
100,Espresso,AND,2,0.0,484.0,922,4182,284,121,405
101,Espresso,OR,446,0.0,-408.0,919,3290,691,246,937
102,Espresso,OR,446,0.0,-856.0,918,2842,716,86,802
103,Espresso,OR,437,0.0,-1754.0,916,1944,689,107,796
104,Espresso,AND,2,0.0,-1752.0,917,1946,47,100,147
105,Espresso,OR,445,0.0,-1307.0,917,2391,698,87,785
106,Espresso,AND,2,0.0,-1305.0,918,2393,73,111,184
107,Espresso,OR,446,0.0,-1752.0,917,1946,719,123,842
108,Espresso,AND,2,0.0,-1750.0,918,1948,31,100,131
110,Espresso,AND,2,0.0,-1748.0,919,1950,34,115,149
111,Espresso,AND,2,0.0,-1746.0,920,1952,19,114,133
112,Espresso,AND,2,0.0,-1744.0,921,1954,31,100,131
113,Espresso,AND,2,0.0,-1742.0,922,1956,31,100,131
114,Espresso,AND,2,0.0,-1740.0,923,1958,22,99,121
115,Espresso,AND,2,0.0,-1738.0,924,1960,29,96,125
116,Espresso,AND,2,0.0,-1736.0,925,1962,22,101,123
117,Espresso,AND,2,0.0,-1734.0,926,1964,37,148,185
118,Espresso,AND,2,0.0,-1732.0,927,1966,52,95,147
119,Espresso,AND,2,0.0,-1730.0,928,1968,45,90,150
120,Espresso,AND,2,0.0,-1728.0,929,1970,49,99,148
121,Espresso,AND,2,0.0,-1726.0,930,1972,38,109,147
122,Espresso,AND,2,0.0,-1724.0,931,1974,38,100,138
123,Espresso,AND,2,0.0,-1722.0,932,1976,63,100,163
124,Espresso,AND,2,0.0,-1720.0,933,1978,31,100,131
125,Espresso,AND,2,0.0,-1718.0,934,1980,48,99,147
126,Espresso,AND,2,0.0,-1716.0,935,1982,21,113,134
127,Espresso,AND,2,0.0,-1714.0,936,1984,48,85,133
128,Espresso,AND,4,0.0,-1710.0,937,1988,62,137,199
129,Espresso,AND,2,0.0,-1708.0,938,1990,36,96,132
130,Espresso,AND,3,0.0,-1705.0,939,1993,69,98,167
131,Espresso,AND,2,0.0,-1703.0,940,1995,37,101,138
132,Espresso,AND,2,0.0,-1701.0,941,1997,32,104,136
133,Espresso,AND,2,0.0,-1699.0,942,1999,22,101,123
134,Espresso,AND,2,0.0,-1697.0,943,2001,16,119,135
135,Espresso,AND,3,0.0,-1694.0,944,2004,69,99,168
136,Espresso,AND,2,0.0,-1692.0,945,2006,47,102,149
137,Espresso,AND,2,0.0,-1690.0,946,2008,37,101,138
138,Espresso,AND,2,0.0,-1688.0,947,2010,15,116,131
139,Espresso,AND,2,0.0,-1686.0,948,2012,32,100,132
140,Espresso,AND,5,0.0,-1681.0,949,2017,53,100,153
141,Espresso,AND,2,0.0,-1679.0,950,2019,36,184,220
142,Espresso,AND,2,0.0,-1677.0,951,2021,32,106,138
143,Espresso,AND,2,0.0,-1675.0,952,2023,45,151,196
144,Espresso,AND,2,0.0,-1673.0,953,2025,46,101,147
145,Espresso,AND,2,0.0,-1671.0,954,2027,36,100,136
146,Espresso,AND,2,0.0,-1669.0,955,2029,16,116,132
147,Espresso,AND,2,0.0,-1667.0,956,2031,19,100,119
148,Espresso,AND,2,0.0,-1665.0,957,2033,64,99,163
149,Espresso,AND,2,0.0,-1663.0,958,2035,62,100,162
150,Espresso,AND,2,0.0,-1661.0,959,2037,21,101,122
151,Espresso,AND,2,0.0,-1659.0,960,2039,47,100,147
152,Espresso,AND,2,0.0,-1657.0,961,2041,22,100,122
153,Espresso,AND,2,0.0,-1655.0,962,2043,33,112,145
154,Espresso,AND,2,0.0,-1653.0,963,2045,38,100,138
155,Espresso,AND,2,0.0,-1651.0,964,2047,31,85,116
156,Espresso,AND,2,0.0,-1649.0,965,2049,32,101,133
157,Espresso,AND,2,0.0,-1647.0,966,2051,31,101,132
158,Espresso,AND,2,0.0,-1645.0,967,2053,22,100,122
159,Espresso,AND,2,0.0,-1643.0,968,2055,46,98,144
160,Espresso,AND,2,0.0,-1641.0,969,2057,37,101,138
161,Espresso,AND,2,0.0,-1639.0,970,2059,43,108,151
162,Espresso,AND,2,0.0,-1637.0,971,2061,23,100,123
163,Espresso,AND,2,0.0,-1635.0,972,2063,31,89,120
164,Espresso,AND,2,0.0,-1633.0,973,2065,16,102,118
165,Espresso,AND,7,0.0,-1626.0,974,2072,84,100,184
166,Espresso,AND,3,0.0,-1623.0,975,2075,69,100,169
167,Espresso,AND,2,0.0,-1621.0,976,2077,32,115,147
168,Espresso,AND,2,0.0,-1619.0,977,2079,38,100,138
169,Espresso,AND,2,0.0,-1617.0,978,2081,37,94,131
170,Espresso,AND,2,0.0,-1615.0,979,2083,33,100,133
171,Espresso,AND,2,0.0,-1613.0,980,2085,35,101,136
172,Espresso,AND,2,0.0,-1611.0,981,2087,47,100,147
173,Espresso,AND,3,0.0,-1608.0,982,2090,39,147,186
174,Espresso,AND,2,0.0,-1606.0,983,2092,38,100,138
175,Espresso,AND,2,0.0,-1604.0,984,2094,31,100,131
176,Espresso,AND,2,0.0,-1602.0,985,2096,48,114,162
177,Espresso,AND,2,0.0,-1600.0,986,2098,18,113,131
178,Espresso,AND,2,0.0,-1598.0,987,2100,48,116,164
179,Espresso,AND,2,0.0,-1596.0,988,2102,54,100,154
180,Espresso,AND,2,0.0,-1594.0,989,2104,31,100,131
181,Espresso,AND,2,0.0,-1592.0,990,2106,38,147,185
182,Espresso,AND,2,0.0,-1590.0,991,2108,31,116,147
183,Espresso,AND,2,0.0,-1588.0,992,2110,47,100,147
184,Espresso,AND,2,0.0,-1586.0,993,2112,67,100,167
185,Espresso,AND,2,0.0,-1584.0,994,2114,54,100,154
186,Espresso,AND,7,0.0,-1577.0,995,2121,118,100,218
187,Espresso,AND,2,0.0,-1575.0,996,2123,38,106,144
188,Espresso,AND,2,0.0,-1573.0,997,2125,31,101,132
189,Espresso,AND,2,0.0,-1571.0,998,2127,37,101,138
190,Espresso,AND,2,0.0,-1569.0,999,2129,31,101,132
191,Espresso,AND,2,0.0,-1567.0,1000,2131,31,116,147
192,Espresso,AND,2,0.0,-1565.0,1001,2133,37,100,137
193,Espresso,AND,2,0.0,-1563.0,1002,2135,46,102,148
194,Espresso,AND,2,0.0,-1561.0,1003,2137,27,100,127
195,Espresso,AND,2,0.0,-1559.0,1004,2139,47,100,147
196,Espresso,AND,2,0.0,-1557.0,1005,2141,44,100,144
197,Espresso,AND,2,0.0,-1555.0,1006,2143,47,100,147
198,Espresso,AND,2,0.0,-1553.0,1007,2145,24,131,155
199,Espresso,AND,2,0.0,-1551.0,1008,2147,31,122,153
200,Espresso,AND,2,0.0,-1549.0,1009,2149,23,145,168
201,Espresso,AND,2,0.0,-1547.0,1010,2151,16,100,116
202,Espresso,AND,2,0.0,-1545.0,1011,2153,34,86,120
203,Espresso,AND,2,0.0,-1543.0,1012,2155,31,101,132
204,Espresso,AND,2,0.0,-1541.0,1013,2157,47,101,148
205,Espresso,AND,2,0.0,-1539.0,1014,2159,16,100,116
206,Espresso,AND,2,0.0,-1537.0,1015,2161,47,88,135
207,Espresso,AND,2,0.0,-1535.0,1016,2163,32,100,132
208,Espresso,AND,2,0.0,-1533.0,1017,2165,47,103,150
209,Espresso,AND,2,0.0,-1531.0,1018,2167,37,131,168
210,Espresso,AND,2,0.0,-1529.0,1019,2169,38,100,138
211,Espresso,AND,2,0.0,-1527.0,1020,2171,42,105,147
212,Espresso,AND,2,0.0,-1525.0,1021,2173,33,117,150
213,Espresso,AND,2,0.0,-1523.0,1022,2175,41,91,132
214,Espresso,AND,2,0.0,-1521.0,1023,2177,53,124,177
