id,idconf,method,type,flit,feat,lit,op,chars,BFED,BFCD,timeSelection,timeSimplification,timeTotal
74,8,Espresso,AND,8,42,104,115,1494,15.0,8.0,3,54,57
75,8,JBool,AND,8,42,104,115,1494,17.0,8.0,2,1,3
76,8,Naive,OR,8,42,352,452,4913,416.0,256.0,0,0,0
77,8,onlySelection,OR,8,42,352,452,4913,416.0,256.0,0,0,0
78,8,ATGT,OR,8,42,248,310,3492,253.0,152.0,0,35323,35323
79,8,Espresso,OR,8,41,351,485,4842,448.0,256.0,0,1698,1698
80,8,JBool,OR,8,41,289,409,4013,406.0,194.0,0,27,27
81,9,Naive,AND,9,42,105,113,1524,13.0,9.0,0,0,0
82,9,onlySelection,AND,9,42,105,113,1522,13.0,9.0,4,0,4
83,9,ATGT,AND,9,42,96,100,1381,0.0,0.0,5,1118,1123
84,9,Espresso,AND,9,42,105,114,1520,15.0,9.0,4,52,56
85,9,JBool,AND,9,42,100,108,1435,14.0,4.0,3,1,4
86,9,Naive,OR,9,42,384,644,5843,576.0,288.0,0,0,0
87,9,onlySelection,OR,9,42,384,644,5843,576.0,288.0,0,0,0
88,9,ATGT,OR,9,42,263,417,3978,339.0,167.0,0,35651,35651
89,9,Espresso,OR,9,41,383,677,5772,608.0,288.0,0,1709,1709
90,9,JBool,OR,9,41,306,518,4476,509.0,211.0,0,32,32
91,10,Naive,AND,10,42,106,115,1531,14.0,10.0,0,0,0
92,10,onlySelection,AND,10,42,106,115,1529,14.0,10.0,6,0,6
93,10,ATGT,AND,10,42,105,114,1516,13.0,9.0,4,1118,1122
94,10,Espresso,AND,10,42,106,116,1529,16.0,10.0,3,53,56
95,10,JBool,AND,10,42,106,116,1529,18.0,10.0,4,1,5
96,10,Naive,OR,10,42,416,484,6389,416.0,320.0,0,0,0
97,10,onlySelection,OR,10,42,416,484,6389,416.0,320.0,0,0,0
98,10,ATGT,OR,10,42,359,415,5502,346.0,263.0,0,35650,35650
99,10,Espresso,OR,10,41,415,517,6318,448.0,320.0,0,1760,1760
100,10,JBool,OR,10,41,462,600,6890,607.0,367.0,0,41,41
