id,idconf,method,type,flit,feat,lit,op,chars,BFED,BFCD,timeSelection,timeSimplification,timeTotal
74,8,Espresso,AND,8,31,126,204,2803,12.0,8.0,6,51,57
75,8,JBool,AND,8,31,126,204,2803,15.0,8.0,6,1,7
76,8,Naive,OR,8,31,582,945,12195,814.0,464.0,0,0,0
77,8,onlySelection,OR,8,31,582,945,12195,814.0,464.0,0,0,0
78,8,ATGT,OR,8,31,378,613,8067,459.0,260.0,0,62517,62519
79,8,Espresso,OR,8,31,582,945,12195,814.0,464.0,0,2990,2990
80,8,JBool,OR,8,30,596,974,12798,960.0,478.0,0,55,55
81,9,Naive,AND,9,31,127,205,2905,12.0,9.0,0,0,0
82,9,onlySelection,AND,9,31,127,205,2903,12.0,9.0,0,0,15
83,9,ATGT,AND,9,31,127,205,2903,12.0,9.0,12,1068,1080
84,9,Espresso,AND,9,31,127,205,2903,12.0,9.0,4,47,51
85,9,JBool,AND,9,31,127,205,2903,15.0,9.0,15,0,15
86,9,Naive,OR,9,31,640,887,13357,756.0,522.0,0,0,0
87,9,onlySelection,OR,9,31,640,887,13357,756.0,522.0,0,0,0
88,9,ATGT,OR,9,31,464,652,9697,503.0,346.0,0,63820,63820
89,9,Espresso,OR,9,31,640,887,13357,756.0,522.0,0,3450,3450
90,9,JBool,OR,9,30,636,941,13936,931.0,518.0,0,92,92
91,10,Naive,AND,10,31,128,209,2925,16.0,10.0,0,0,0
92,10,onlySelection,AND,10,31,128,209,2941,16.0,10.0,10,1,11
93,10,ATGT,AND,10,31,127,207,2890,14.0,9.0,13,1314,1327
94,10,Espresso,AND,10,31,128,209,2941,16.0,10.0,10,54,64
95,10,JBool,AND,10,31,128,208,2940,18.0,10.0,11,1,12
96,10,Naive,OR,10,31,698,1061,13127,872.0,580.0,0,0,0
97,10,onlySelection,OR,10,31,698,1061,13127,872.0,580.0,0,0,0
98,10,ATGT,OR,10,31,521,795,9961,608.0,403.0,0,65867,65867
99,10,Espresso,OR,10,31,698,1061,13127,872.0,580.0,0,3106,3106
100,10,JBool,OR,10,30,767,1203,14727,1184.0,649.0,0,65,65
